log_id,ticket_id,from_status,to_status,changed_at,changed_by,note
1,1,,MOI,2025-02-23 12:30,3,
2,1,MOI,DA_PHAN_CONG,2025-02-25 15:28,8,
3,2,,MOI,2025-09-01 16:15,43,
4,2,MOI,DA_PHAN_CONG,2025-09-02 03:05,28,
5,2,DA_PHAN_CONG,DANG_XU_LY,2025-09-02 12:13,50,
6,3,,MOI,2026-08-23 12:15,46,
7,3,MOI,DA_PHAN_CONG,2026-08-24 04:18,39,
8,3,DA_PHAN_CONG,DANG_XU_LY,2026-08-24 16:57,52,
9,3,DANG_XU_LY,CHO_LINH_KIEN,2026-08-25 04:31,8,
10,3,CHO_LINH_KIEN,HOAN_TAT,2026-08-25 16:36,17,
11,3,HOAN_TAT,DA_DONG,2026-08-26 01:00,2,
12,4,,MOI,2024-09-12 10:00,51,
13,4,MOI,DA_PHAN_CONG,2024-09-13 12:59,51,
14,4,DA_PHAN_CONG,DANG_XU_LY,2024-09-14 14:05,4,
15,4,DANG_XU_LY,HOAN_TAT,2024-09-15 11:43,34,
16,4,HOAN_TAT,DA_DONG,2024-09-16 10:53,53,
17,5,,MOI,2025-04-16 16:00,31,
18,5,MOI,DA_PHAN_CONG,2025-04-17 14:39,56,
19,5,DA_PHAN_CONG,DANG_XU_LY,2025-04-19 04:06,30,
20,5,DANG_XU_LY,HOAN_TAT,2025-04-20 11:18,28,
21,6,,MOI,2026-08-30 16:15,21,
22,6,MOI,DA_PHAN_CONG,2026-08-30 19:29,2,
23,6,DA_PHAN_CONG,DANG_XU_LY,2026-08-30 21:31,50,
24,6,DANG_XU_LY,CHO_LINH_KIEN,2026-08-31 00:05,6,
25,6,CHO_LINH_KIEN,HOAN_TAT,2026-08-31 04:27,28,
26,6,HOAN_TAT,DA_DONG,2026-08-31 07:52,45,
27,7,,MOI,2026-07-11 15:15,58,
28,7,MOI,DA_PHAN_CONG,2026-07-11 19:52,12,
29,7,DA_PHAN_CONG,DANG_XU_LY,2026-07-12 01:25,14,
30,7,DANG_XU_LY,CHO_LINH_KIEN,2026-07-12 05:02,57,
31,7,CHO_LINH_KIEN,HOAN_TAT,2026-07-12 08:13,34,
32,7,HOAN_TAT,DA_DONG,2026-07-12 10:29,1,
33,8,,MOI,2026-02-22 09:15,2,
34,8,MOI,DA_PHAN_CONG,2026-02-22 13:19,1,
35,8,DA_PHAN_CONG,DANG_XU_LY,2026-02-22 18:49,36,
36,8,DANG_XU_LY,HOAN_TAT,2026-02-22 23:36,21,
37,8,HOAN_TAT,DA_DONG,2026-02-23 05:13,29,
38,9,,MOI,2026-08-02 11:00,21,
39,9,MOI,DA_PHAN_CONG,2026-08-04 00:00,59,
40,10,,MOI,2024-12-20 09:00,36,
41,10,MOI,DA_PHAN_CONG,2024-12-21 00:47,33,
42,10,DA_PHAN_CONG,DANG_XU_LY,2024-12-22 01:25,20,
43,10,DANG_XU_LY,HOAN_TAT,2024-12-23 03:31,44,
44,10,HOAN_TAT,DA_DONG,2024-12-24 05:23,48,
45,11,,MOI,2025-10-05 11:45,50,
46,11,MOI,DA_PHAN_CONG,2025-10-06 01:13,19,
47,11,DA_PHAN_CONG,DANG_XU_LY,2025-10-06 08:35,18,
48,11,DANG_XU_LY,HOAN_TAT,2025-10-06 17:57,12,
49,11,HOAN_TAT,DA_DONG,2025-10-06 22:49,59,
50,12,,MOI,2026-07-24 15:45,20,
51,12,MOI,DA_PHAN_CONG,2026-07-25 07:05,15,
52,12,DA_PHAN_CONG,DANG_XU_LY,2026-07-25 20:35,52,
53,12,DANG_XU_LY,HOAN_TAT,2026-07-26 06:08,28,
54,12,HOAN_TAT,DA_DONG,2026-07-26 23:24,17,
55,13,,MOI,2026-01-07 17:45,31,
56,13,MOI,DA_PHAN_CONG,2026-01-08 20:12,43,
57,13,DA_PHAN_CONG,DANG_XU_LY,2026-01-09 08:45,40,
58,13,DANG_XU_LY,HOAN_TAT,2026-01-10 03:46,17,
59,13,HOAN_TAT,DA_DONG,2026-01-11 07:30,50,
60,14,,MOI,2025-06-11 13:30,19,
61,14,MOI,DA_PHAN_CONG,2025-06-12 06:23,1,
62,14,DA_PHAN_CONG,DANG_XU_LY,2025-06-12 22:14,42,
63,14,DANG_XU_LY,HOAN_TAT,2025-06-13 09:12,31,
64,14,HOAN_TAT,DA_DONG,2025-06-13 20:29,33,
65,15,,MOI,2026-02-10 10:45,39,
66,15,MOI,DA_PHAN_CONG,2026-02-10 14:12,24,
67,15,DA_PHAN_CONG,DANG_XU_LY,2026-02-10 23:32,51,
68,16,,MOI,2025-06-10 13:15,10,
69,16,MOI,DA_PHAN_CONG,2025-06-10 16:53,4,
70,16,DA_PHAN_CONG,DANG_XU_LY,2025-06-10 22:29,54,
71,16,DANG_XU_LY,HOAN_TAT,2025-06-11 05:09,8,
72,16,HOAN_TAT,DA_DONG,2025-06-11 09:37,1,
73,17,,MOI,2026-05-21 16:30,32,
74,17,MOI,DA_PHAN_CONG,2026-05-24 05:40,29,
75,18,,MOI,2026-05-02 10:00,49,
76,18,MOI,DA_PHAN_CONG,2026-05-03 20:56,55,
77,18,DA_PHAN_CONG,DANG_XU_LY,2026-05-04 17:01,56,
78,19,,MOI,2025-02-09 14:30,31,
79,19,MOI,DA_PHAN_CONG,2025-02-09 20:51,41,
80,19,DA_PHAN_CONG,DANG_XU_LY,2025-02-10 04:03,4,
81,19,DANG_XU_LY,HOAN_TAT,2025-02-10 14:11,15,
82,19,HOAN_TAT,DA_DONG,2025-02-11 01:58,30,
83,20,,MOI,2026-08-20 08:30,60,
84,20,MOI,DA_PHAN_CONG,2026-08-20 13:53,6,
85,20,DA_PHAN_CONG,DANG_XU_LY,2026-08-20 17:06,44,
86,20,DANG_XU_LY,HOAN_TAT,2026-08-20 22:55,27,
87,20,HOAN_TAT,DA_DONG,2026-08-21 03:21,58,
88,21,,MOI,2026-06-25 08:30,33,
89,21,MOI,DA_PHAN_CONG,2026-06-25 14:21,11,
90,21,DA_PHAN_CONG,DANG_XU_LY,2026-06-26 02:26,15,
91,21,DANG_XU_LY,HOAN_TAT,2026-06-26 18:21,20,
92,21,HOAN_TAT,DA_DONG,2026-06-27 10:52,45,
93,22,,MOI,2025-01-26 12:15,32,
94,22,MOI,DA_PHAN_CONG,2025-01-27 06:15,6,
95,22,DA_PHAN_CONG,DANG_XU_LY,2025-01-27 22:37,18,
96,23,,MOI,2026-03-27 09:00,38,
97,23,MOI,DA_PHAN_CONG,2026-03-27 18:15,49,
98,23,DA_PHAN_CONG,DANG_XU_LY,2026-03-28 02:47,45,
99,23,DANG_XU_LY,CHO_LINH_KIEN,2026-03-28 11:55,59,
100,23,CHO_LINH_KIEN,HOAN_TAT,2026-03-29 03:42,37,
