ticket_id,ticket_code,customer_id,serial_no,product_id,center_id,issue_desc,category_id,priority,status,technician_id,received_at,due_date,closed_at,is_warranty
1,BH-000001/2025,14159,SN541017338391,21,5,kh noi cam sac khong vao dien bi tu tuan truoc,3,TRUNG_BINH,DA_PHAN_CONG,31,2025-02-23 12:30,2025-02-26 12:30,,true
2,BH-000002/2025,22536,SN171793448269,149,2,cảm ứng chỗ được chỗ không đã thử khởi động lại không được,1,CAO,DANG_XU_LY,5,2025-09-01 16:15,2025-09-02 16:15,,true
3,BH-000003/2026,8568,SN353496038427,226,6,khách báo máy tự tắt khi còn 30% pin mới bị 2 ngày nay,2,TRUNG_BINH,DA_DONG,13,2026-08-23 12:15,2026-08-26 12:15,2026-08-26 01:00,true
4,BH-000004/2024,9206,SN201103205275,244,1,khach hang phan anh camera mo len bi den man bi tu tuan truoc,4,THAP,DA_DONG,20,2024-09-12 10:00,2024-09-17 10:00,2024-09-16 10:53,true
5,BH-000005/2025,21320,SN667990926428,264,1,khách báo màn hình bị ám vàng một góc mới bị 2 ngày nay,1,THAP,HOAN_TAT,20,2025-04-16 16:00,2025-04-21 16:00,,true
6,BH-000006/2026,8902,SN290183596470,217,5,may bi màn hình đen không lên đã thử khởi động lại không được,1,CAO,DA_DONG,24,2026-08-30 16:15,2026-08-31 16:15,2026-08-31 07:52,true
7,BH-000007/2026,20470,SN304477094250,232,5,điểm chết trên màn hình xảy ra sau khi rơi,1,CAO,DA_DONG,9,2026-07-11 15:15,2026-07-12 15:15,2026-07-12 10:29,true
8,BH-000008/2026,32371,SN896712752454,155,2,kh nói máy bị đổ nước ngọt vào không sạc được,5,CAO,DA_DONG,30,2026-02-22 09:15,2026-02-23 09:15,2026-02-23 05:13,true
9,BH-000009/2026,22048,SN263659927827,115,2,may bi sạc rất chậm mất cả đêm khách chưa từng sửa ở đâu,3,TRUNG_BINH,DA_PHAN_CONG,8,2026-08-02 11:00,2026-08-05 11:00,,false
10,BH-000010/2024,764,SN305343545353,159,5,máy rung liên tục không dừng bị từ tuần trước,6,THAP,DA_DONG,7,2024-12-20 09:00,2024-12-25 09:00,2024-12-24 05:23,false
11,BH-000011/2025,17568,SN245912506109,304,3,kh nói chân sạc lỏng phải giữ mới sạc được đã thử khởi động lại không được,3,TRUNG_BINH,DA_DONG,38,2025-10-05 11:45,2025-10-08 11:45,2025-10-06 22:49,true
12,BH-000012/2026,13456,SN585921672203,240,2,may bi chân sạc lỏng phải giữ mới sạc được đã thử khởi động lại không được,3,TRUNG_BINH,DA_DONG,12,2026-07-24 15:45,2026-07-27 15:45,2026-07-26 23:24,true
13,BH-000013/2026,14076,SN135342471423,272,2,khach bao may treo logo khong vao duoc he dieu hanh khach chua tung sua o dau,4,THAP,DA_DONG,30,2026-01-07 17:45,2026-01-12 17:45,2026-01-11 07:30,true
14,BH-000014/2025,191,SN916536567045,128,2,chân sạc lỏng phải giữ mới sạc được mới bị 2 ngày nay,3,TRUNG_BINH,DA_DONG,30,2025-06-11 13:30,2025-06-14 13:30,2025-06-13 20:29,true
15,BH-000015/2026,29399,SN707252617328,296,2,tình trạng: màn hình xuất hiện vệt mực loang xảy ra sau khi rơi,1,CAO,DANG_XU_LY,5,2026-02-10 10:45,2026-02-11 10:45,,true
16,BH-000016/2025,25218,SN820351513625,186,3,tình trạng: cổng sạc bị gãy chân xảy ra sau khi rơi,3,TRUNG_BINH,DA_DONG,37,2025-06-10 13:15,2025-06-13 13:15,2025-06-11 09:37,true
17,BH-000017/2026,42899,SN532591791583,222,5,TÌNH TRẠNG: PIN SỤT 20% CHỈ SAU VÀI PHÚT XẢY RA SAU KHI RƠI,2,TRUNG_BINH,DA_PHAN_CONG,17,2026-05-21 16:30,2026-05-24 16:30,,true
18,BH-000018/2026,17466,SN752797804681,48,2,khách báo sạc vào nhưng không nhận cáp mới bị 2 ngày nay,3,TRUNG_BINH,DANG_XU_LY,29,2026-05-02 10:00,2026-05-05 10:00,,true
19,BH-000019/2025,45461,SN749259283611,256,4,khách báo pin nóng bất thường khi dùng đã thử khởi động lại không được,2,TRUNG_BINH,DA_DONG,2,2025-02-09 14:30,2025-02-12 14:30,2025-02-11 01:58,true
20,BH-000020/2026,37762,SN319355331102,21,2,KHACH BAO MAY TU KHOI DONG LAI NHIEU LAN TRONG NGAY,4,CAO,DA_DONG,25,2026-08-20 08:30,2026-08-21 08:30,2026-08-21 03:21,true
21,BH-000021/2026,38483,SN538712975738,221,4,khách báo pin nóng bất thường khi dùng máy còn bảo hành,2,TRUNG_BINH,DA_DONG,16,2026-06-25 08:30,2026-06-28 08:30,2026-06-27 10:52,true
22,BH-000022/2025,15155,SN818541783829,307,1,khách báo màn hình bị sọc dọc bị từ tuần trước,1,TRUNG_BINH,DANG_XU_LY,1,2025-01-26 12:15,2025-01-29 12:15,,true
23,BH-000023/2026,37710,SN854070001927,119,4,tinh trang: may treo logo khong vao duoc he dieu hanh khach chua tung sua o dau,4,THAP,DA_DONG,16,2026-03-27 09:00,2026-04-01 09:00,2026-03-29 14:22,true
24,BH-000024/2025,23696,SN246735433143,229,6,MAY BI PIN SỤT 20% CHỈ SAU VÀI PHÚT,2,TRUNG_BINH,DANG_XU_LY,28,2025-07-18 10:00,2025-07-21 10:00,,true
25,BH-000025/2025,2270,SN168071448098,225,1,khách báo pin chai chỉ còn dùng được nửa ngày đã thử khởi động lại không được,2,TRUNG_BINH,DA_DONG,1,2025-03-31 08:00,2025-04-03 08:00,2025-04-02 08:36,true
26,BH-000026/2026,39677,SN834456158762,276,5,khách hàng phản ánh pin nóng bất thường khi dùng mới bị 2 ngày nay,2,TRUNG_BINH,DA_DONG,17,2026-03-26 16:30,2026-03-29 16:30,2026-03-29 00:30,false
27,BH-000027/2026,13949,SN673837901981,218,4,may bi wifi không kết nối được sau cập nhật xảy ra sau khi rơi,4,THAP,DA_DONG,6,2026-05-02 10:30,2026-05-07 10:30,2026-05-03 23:44,false
28,BH-000028/2026,20928,SN906181244991,144,1,kh noi cong sac bi gay chan moi bi 2 ngay nay,3,THAP,DA_DONG,20,2026-02-14 10:30,2026-02-19 10:30,2026-02-16 14:37,true
29,BH-000029/2026,4347,SN967586429414,265,6,tình trạng: cắm sạc không vào điện khách chưa từng sửa ở đâu,3,CAO,DA_DONG,23,2026-02-22 13:45,2026-02-23 13:45,2026-02-23 17:10,true
30,BH-000030/2025,50847,SN150066671480,225,6,máy rung liên tục không dừng,6,TRUNG_BINH,DA_DONG,13,2025-10-21 16:00,2025-10-24 16:00,2025-10-23 15:54,true
31,BH-000031/2025,18990,SN412688321035,226,4,may bi ứng dụng tự thoát liên tục khách chưa từng sửa ở đâu,4,THAP,DA_DONG,6,2025-07-27 13:00,2025-08-01 13:00,2025-07-29 04:51,true
32,BH-000032/2025,40522,SN859770069905,219,1,khach bao may phong pin can man hinh da thu khoi dong lai khong duoc,2,TRUNG_BINH,DA_DONG,1,2025-11-20 10:45,2025-11-23 10:45,2025-11-21 19:01,true
33,BH-000033/2025,37402,SN310826262434,29,2,máy không giữ được pin qua đêm,2,TRUNG_BINH,DA_DONG,12,2025-09-16 09:00,2025-09-19 09:00,2025-09-17 17:55,false
34,BH-000034/2025,39495,SN285048214031,40,4,tinh trang: pin chai chi con dung duoc nua ngay may con bao hanh,2,TRUNG_BINH,DA_DONG,34,2025-07-21 13:15,2025-07-24 13:15,2025-07-23 22:01,true
35,BH-000035/2026,40657,SN904929853801,81,5,tinh trang: cam sac may nong bat thuong khach chua tung sua o dau,3,TRUNG_BINH,DA_DONG,26,2026-07-28 11:45,2026-07-31 11:45,2026-07-30 17:00,true
36,BH-000036/2025,18436,SN593784187686,275,6,KHÁCH BÁO MÁY TỰ KHỞI ĐỘNG LẠI NHIỀU LẦN TRONG NGÀY MÁY CÒN BẢO HÀNH,4,TRUNG_BINH,CHO_LINH_KIEN,13,2025-07-08 08:15,2025-07-11 08:15,,true
37,BH-000037/2025,36164,SN519364773950,2,3,kh nói máy không giữ được pin qua đêm đã thử khởi động lại không được,2,TRUNG_BINH,DA_DONG,38,2025-07-12 14:00,2025-07-15 14:00,2025-07-13 16:15,true
38,BH-000038/2024,3264,SN255974900005,74,6,kh nói máy không giữ được pin qua đêm xảy ra sau khi rơi,2,TRUNG_BINH,DA_DONG,10,2024-11-04 13:30,2024-11-07 13:30,2024-11-05 07:48,true
39,BH-000039/2025,682,SN796589954863,276,5,KHÁCH HÀNG PHẢN ÁNH SẠC ĐẦY NHƯNG DÙNG 30 PHÚT LÀ SẬP NGUỒN XẢY RA SAU KHI RƠI,2,TRUNG_BINH,DA_DONG,26,2025-11-20 17:45,2025-11-23 17:45,2025-11-24 16:18,true
40,BH-000040/2025,21395,SN485643836295,128,2,kh nói điểm chết trên màn hình xảy ra sau khi rơi,1,CAO,DA_DONG,25,2025-11-02 09:00,2025-11-03 09:00,2025-11-02 17:38,true
41,BH-000041/2025,42116,SN368009561485,143,2,khách hàng phản ánh camera mở lên bị đen màn máy còn bảo hành,4,THAP,DA_DONG,8,2025-08-17 17:30,2025-08-22 17:30,2025-08-21 04:27,true
42,BH-000042/2024,34792,SN331796869517,147,6,may bi man hinh nut sau khi roi bi tu tuan truoc,1,CAO,DA_DONG,28,2024-11-22 12:00,2024-11-23 12:00,2024-11-22 23:53,true
